Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200,RSI,MACD,MACD_Signal,MACD_Histogram,ADX,BB_Upper,BB_Middle,BB_Lower
2022-08-19,249.11242984255617,249.67223875029828,244.81128882208304,246.0335235595703,932700,0.0,0.0,228.20962860107423,239.6810174560547,60.07129774172338,7.576849658776297,7.021933859236999,0.5549157995392981,30.16569682224443,262.718217898452,239.14983062744145,215.58144335643084
2022-08-22,242.87065670989176,244.223526058983,241.90966219456612,243.4304656982422,674000,0.0,0.0,228.3771942138672,239.5139415740967,56.44337498005192,6.823480733182265,6.982243234026052,-0.1587625008437871,28.75167562939789,262.16123794507104,240.34874267578124,218.5362474064914
2022-08-23,242.07759850798325,244.7926479235878,241.9842922635814,243.81300354003903,810300,0.0,0.0,228.6528750610352,239.35299346923827,56.85574704413849,6.18598979899204,6.8229925470192505,-0.6370027480272107,27.53444082013737,261.08920696434245,241.593839263916,222.0984715634896
2022-08-24,244.2515438039553,246.1641938932194,243.35583792805,245.1192321777344,568300,0.0,0.0,229.05681243896484,239.16146606445312,58.307272975005496,5.72023605471054,6.602441248557509,-0.8822051938469686,26.639871038287644,260.0736286438955,242.7521675109864,225.4307063780772
2022-08-25,246.2480762008597,248.8138407154832,244.59666710902235,248.72987365722656,619600,0.0,0.0,229.59728149414065,238.97291831970216,62.10269458769285,5.578169779865846,6.397586954819176,-0.8194171749533306,26.24721560618918,259.8738007721319,243.79526443481444,227.71672809749697
2022-08-26,249.392364697924,250.02683009256023,244.55006375980048,244.6620483398437,1064100,0.0,0.0,230.0550964355469,238.7583506011963,55.925744275752805,5.078796521779054,6.133828868211152,-1.055032346432098,26.076088913708503,259.5221297566678,244.44836959838867,229.3746094401096
2022-08-29,242.5721036648181,245.38979864662784,241.9656557523529,243.23455810546875,635700,0.0,0.0,230.5620266723633,238.5346753692627,53.89971522430834,4.515797779262016,5.810222650421325,-1.2944248711593094,25.270875590383607,258.78914746988374,245.0758171081543,231.36248674642485
2022-08-30,244.72734129413027,244.72734129413027,238.4295681474676,238.70947265625,864500,0.0,0.0,230.9623287963867,238.30555549621585,47.967470786953385,3.662264337987466,5.380630987934554,-1.7183666499470878,23.72621582460085,257.2433947364171,245.6230255126953,234.0026562889735
2022-08-31,240.2209229583748,240.38885711185645,235.4439394388896,235.5372314453125,1164900,0.0,0.0,231.2057666015625,238.0629567718506,44.28755114135463,2.6987500712960184,4.844254804606847,-2.145504733310829,22.3721953344916,256.005172870796,245.9374473571777,235.86972184355952
2022-09-01,233.7272162572937,234.5482657006802,231.85188021850584,233.2513885498047,918100,0.0,0.0,231.4036724853516,237.83733444213868,41.799131433907206,1.7307585479354657,4.221555553272571,-2.4907970053371056,21.76237468551741,256.8477496491146,245.5768409729004,234.3059322966862
2022-09-02,236.59156258973363,236.94610927467383,229.36076916426447,230.0138702392578,1311700,0.0,0.0,231.51717987060547,237.6060620880127,38.499624835489726,0.6943733177041054,3.5161191061588783,-2.821745788454773,21.60461551558439,257.98428513561964,244.82530670166017,231.6663282677007
2022-09-06,231.441327714344,231.64659005055069,228.29710392981983,229.67794799804688,1179100,0.0,0.0,231.4382403564453,237.3823192596436,38.16300821632568,-0.1523197145988888,2.782431342007325,-2.934751056606214,21.628304891601257,258.82368296389524,244.0975646972656,229.371446430636
2022-09-07,229.9298949973385,237.0300679560035,229.67797950715527,236.7781524658203,1037000,0.0,0.0,231.61066650390623,237.20896759033204,48.42703814675664,-0.2475492870412381,2.1764352161976124,-2.4239845032388505,20.439740865095192,258.89616086687494,243.8652458190918,228.83433077130863
2022-09-08,234.3243212291628,237.20731898977849,233.3073486700324,236.8247833251953,549500,0.0,0.0,231.85205078125,237.0289766693116,48.48751223471814,-0.3156184357904692,1.6780244857999962,-1.9936429215904647,19.29929774181187,258.5292168433733,243.3147720336914,228.10032722400948
2022-09-09,238.2709800457904,240.1090022580765,237.34729935585085,239.75445556640625,704800,0.0,0.0,232.14053649902343,236.8646421051025,52.27396795298985,-0.1316461264143242,1.316090363357132,-1.4477364897714564,18.19507719779025,258.136541306919,242.94903564453125,227.7615299821435
2022-09-12,241.6577986728195,246.3228268485933,240.8460883259264,245.84698486328125,877000,0.0,0.0,232.5700927734375,236.7239894866944,59.0200958373232,0.50000569665292,1.1528734300162895,-0.6528677333633697,18.23478920360785,257.1897619734883,242.60475692749023,228.01975188149217
2022-09-13,240.715424879955,242.94532174649743,238.4295641964252,238.92404174804688,831300,0.0,0.0,232.8188320922852,236.5540366363525,50.31669187184218,0.4369339625512509,1.009685536523282,-0.572751573972031,17.754404792341596,255.1076806426649,241.7636535644532,228.4196264862414
2022-09-14,238.4108929449388,238.98935179601813,235.70518270465945,238.08433532714844,690100,0.0,0.0,233.10265197753907,236.3991278076172,49.36578782025857,0.3155543542511907,0.8708593000688638,-0.5553049458176731,16.75926796002553,252.8089210783848,240.90715408325195,229.0053870881192
2022-09-15,237.767123672664,237.9537219296495,231.5533034829573,231.82388305664065,706800,0.0,0.0,233.3125784301758,236.22340835571288,42.86208317215407,-0.2825489884090189,0.6401776423732873,-0.9227266307823062,16.04287498483232,251.7490040134848,239.99607620239257,228.2431483913004
2022-09-16,231.4693438505321,231.57197503065663,227.737321644602,230.7882537841797,1497600,0.0,0.0,233.5279165649414,236.0604247283936,41.87916791935803,-0.8305428428444372,0.3460335453297424,-1.1765763881741798,15.986608292244371,250.57560289483368,239.05187530517577,227.52814771551783
2022-09-19,228.39974576443376,232.9248138285104,228.3717567387833,232.67291259765625,714900,0.0,0.0,233.8483108520508,235.9183187103272,44.37891110020296,-1.100074728374409,0.0568118905889121,-1.1568866189633211,15.656754056861915,249.75929151239723,238.38384475708008,227.0083980017629
2022-09-20,229.9205410940092,230.45236106847287,227.03755748364551,228.4837188720703,605900,0.0,0.0,234.04984008789063,235.7438583374024,40.236387951266,-1.6328906654788111,-0.2811286206246325,-1.3517620448541787,15.569355035753114,249.53926165163023,237.6365074157715,225.73375317991272
2022-09-21,229.96718553587525,231.41334686970933,225.22751601358212,225.28350830078125,573300,0.0,0.0,234.2276708984375,235.54794494628905,37.36687692393124,-2.287018061598161,-0.6823065088193383,-1.6047115527788227,15.782100605234035,249.4037962018432,236.71003265380853,224.01626910577403
2022-09-22,225.7220041074735,226.16051781260245,222.45648499742708,222.5404663085937,877600,0.0,0.0,234.4241616821289,235.318752746582,35.05892832796057,-2.992266316491822,-1.144298470353835,-1.847967846137987,16.407019205172436,249.0735374707497,235.5810943603516,222.0886512499534
2022-09-23,219.9933467490003,221.4115190060633,217.7728034794586,221.18760681152344,1135000,0.0,0.0,234.7057431030273,235.06886848449707,33.94534063342208,-3.618631760217653,-1.6391651283265989,-1.9794666318910543,17.62306834184446,247.66936901178585,234.2039810180664,220.73859302434693
2022-09-26,219.52688395187005,220.5905097789668,215.09510729954425,215.9907989501953,1171700,0.0,0.0,234.8233026123047,234.79419128417967,30.002960114323244,-4.482696119479527,-2.2078713265571848,-2.274824792922342,19.07415048597164,247.52053835121245,232.770418548584,218.0202987459556
