Price,('Close', 'TECO2.BA'),('High', 'TECO2.BA'),('Low', 'TECO2.BA'),('Open', 'TECO2.BA'),('Volume', 'TECO2.BA')
Ticker,TECO2.BA,TECO2.BA,TECO2.BA,TECO2.BA,TECO2.BA
Date,,,,,
2020-09-14,182.85000610351562,193.25,177.0,190.0,140481
2020-09-15,196.14999389648438,197.0,182.0,184.5,182216
2020-09-16,186.0500030517578,195.5,181.14999389648438,195.5,93667
2020-09-17,186.89999389648438,191.39999389648438,181.85000610351562,185.0,74734
2020-09-18,194.25,197.0,186.0,190.0,95493
2020-09-21,193.5,197.39999389648438,185.0,194.25,52693
2020-09-22,195.3000030517578,196.0,188.0,194.25,128612
2020-09-23,198.3000030517578,199.75,192.0,193.35000610351562,68086
2020-09-24,193.5500030517578,199.0,190.0,198.0,86230
2020-09-25,190.6999969482422,194.9499969482422,190.0,192.0,27860
2020-09-28,193.8000030517578,194.0,188.0500030517578,190.6999969482422,49370
2020-09-29,188.3000030517578,193.0500030517578,186.5,193.0500030517578,16717
2020-09-30,184.0,193.1999969482422,180.1999969482422,188.3000030517578,69305
2020-10-01,194.64999389648438,196.89999389648438,182.0,182.0,58875
2020-10-02,201.25,203.0,188.4499969482422,193.0,39388
2020-10-05,205.64999389648438,206.0,195.89999389648438,200.0,80854
2020-10-06,211.3000030517578,213.8000030517578,205.0,205.0,66569
2020-10-07,211.25,214.0,206.0,212.0,61678
2020-10-08,220.85000610351562,223.75,213.0,213.35000610351562,81903
2020-10-09,226.0,227.85000610351562,214.0,219.0,58917
2020-10-13,231.5500030517578,232.0,220.0,223.75,94106
2020-10-14,238.35000610351562,239.0,219.0,226.6999969482422,89788
2020-10-15,237.35000610351562,243.0,228.0,233.60000610351562,70365
2020-10-16,240.10000610351562,242.5,233.25,237.0,90912
2020-10-19,243.60000610351562,248.5,235.0,241.0,88939
2020-10-20,256.95001220703125,260.0,247.5,247.5,200702
2020-10-21,265.75,269.0,255.0,256.8999938964844,152803
2020-10-22,269.95001220703125,272.54998779296875,260.45001220703125,265.0,87134
2020-10-23,264.1499938964844,271.8999938964844,255.6999969482422,269.95001220703125,91177
2020-10-26,239.60000610351562,264.1000061035156,236.0,264.1000061035156,50875
2020-10-27,222.35000610351562,240.3000030517578,220.0,239.60000610351562,43384
2020-10-28,205.3000030517578,220.0,203.60000610351562,220.0,37626
2020-10-29,206.9499969482422,217.60000610351562,202.0,205.0,70049
2020-10-30,196.25,210.0,196.0,210.0,44126
2020-11-02,208.5500030517578,212.0,197.0,198.0,71547
2020-11-03,204.9499969482422,237.0,204.60000610351562,210.0,122600
2020-11-04,201.39999389648438,214.5,200.0,209.0500030517578,34731
2020-11-05,204.8000030517578,209.0,199.0,204.0,53878
2020-11-06,206.4499969482422,209.5,201.1999969482422,209.5,17542
2020-11-09,211.4499969482422,215.0,205.0,206.0,50268
2020-11-10,225.5,226.0,210.1999969482422,212.0,62652
2020-11-11,218.14999389648438,230.0,217.1999969482422,226.0,45224
2020-11-12,203.85000610351562,219.0,202.39999389648438,219.0,238479
2020-11-13,203.39999389648438,211.0,202.3000030517578,205.89999389648438,88698
2020-11-16,206.4499969482422,208.89999389648438,201.0,201.0,71860
2020-11-17,201.14999389648438,209.9499969482422,198.0,206.9499969482422,129792
2020-11-18,207.3000030517578,212.0,202.10000610351562,205.0,64769
2020-11-19,213.60000610351562,215.0,204.0,207.25,67067
2020-11-20,215.8000030517578,217.9499969482422,212.5,215.0,79980
2020-11-24,233.3000030517578,234.75,216.0,216.0,121727
2020-11-25,239.5,242.1999969482422,231.5,234.0,128889
2020-11-26,234.4499969482422,243.0,221.25,238.8000030517578,41887
2020-11-27,239.35000610351562,249.39999389648438,234.0,234.4499969482422,88175
2020-11-30,247.64999389648438,249.0,239.3000030517578,239.3000030517578,227984
2020-12-01,243.8000030517578,253.89999389648438,242.5,245.39999389648438,100203
2020-12-02,252.9499969482422,256.0,244.0,244.0,249618
2020-12-03,262.6000061035156,271.5,250.5,252.9499969482422,117328
2020-12-04,257.45001220703125,268.5,252.0,262.6499938964844,49686
2020-12-09,240.5,257.0,240.0,257.0,59831
2020-12-10,234.9499969482422,240.0,233.0,240.0,47784
2020-12-11,245.60000610351562,247.0,233.0,233.5,55994
2020-12-14,234.75,248.0,232.1999969482422,247.0,62549
2020-12-15,232.39999389648438,236.5,228.0,235.0,54582
2020-12-16,225.10000610351562,232.0,224.3000030517578,232.0,52124
2020-12-17,217.3000030517578,229.9499969482422,216.0,227.35000610351562,67195
2020-12-18,218.9499969482422,223.0,216.3000030517578,220.0,74463
2020-12-21,203.5500030517578,219.0,201.4499969482422,210.0,96791
2020-12-22,196.64999389648438,216.0,195.0,204.0,229378
2020-12-23,193.0,200.60000610351562,192.0,200.0,134112
2020-12-28,189.0,194.0,186.0,193.5,178136
2020-12-29,198.85000610351562,202.0,189.0,192.5,210796
2020-12-30,196.64999389648438,204.0,195.0,201.0,264355
2021-01-04,187.5500030517578,201.89999389648438,185.0,196.89999389648438,271022
2021-01-05,193.0,193.39999389648438,186.39999389648438,188.0,104828
2021-01-06,194.4499969482422,198.0,193.0,195.0,103047
2021-01-07,200.75,202.25,195.0,199.9499969482422,147860
2021-01-08,199.9499969482422,204.4499969482422,196.10000610351562,202.0,107042
2021-01-11,198.89999389648438,200.75,193.0500030517578,199.0,73112
2021-01-12,198.6999969482422,200.0,197.0,198.0,45766
2021-01-13,196.5,201.0,194.39999389648438,198.0,48889
2021-01-14,200.14999389648438,200.8000030517578,195.0500030517578,195.0500030517578,74834
2021-01-15,196.85000610351562,203.0,193.85000610351562,203.0,35793
2021-01-18,195.39999389648438,197.0,191.0,193.5,27620
2021-01-19,197.0,199.4499969482422,190.0,199.0,62077
2021-01-20,194.25,198.25,190.75,196.0,48148
2021-01-21,191.4499969482422,199.0,190.0,194.5,79557
2021-01-22,196.10000610351562,196.5,186.6999969482422,190.0,85651
2021-01-25,195.3000030517578,198.5,190.5,196.8000030517578,46949
2021-01-26,196.3000030517578,200.1999969482422,192.0,195.0,58060
2021-01-27,196.64999389648438,199.89999389648438,195.0,197.5,86555
2021-01-28,200.39999389648438,201.0,196.5,198.0,58212
2021-01-29,199.0,208.5,196.60000610351562,199.5,107542
2021-02-01,199.0500030517578,204.5,197.5,204.5,22273
2021-02-02,206.64999389648438,210.0,198.5,199.5,59690
2021-02-03,204.89999389648438,210.0,202.0,208.0,66361
2021-02-04,202.9499969482422,208.0,200.0,204.0,47462
2021-02-05,203.10000610351562,206.0,200.60000610351562,202.5,28106
2021-02-08,202.6999969482422,206.89999389648438,200.25,204.0,46358
2021-02-09,201.8000030517578,206.5,199.60000610351562,201.5,72060
2021-02-10,199.75,204.0,199.0,202.8000030517578,69929
2021-02-11,194.85000610351562,202.5,194.5,199.0,37362
2021-02-12,195.5500030517578,199.0,192.85000610351562,194.3000030517578,28885
2021-02-17,192.8000030517578,197.0,188.8000030517578,195.0,110139
2021-02-18,187.35000610351562,195.0,182.0,192.0,167068
2021-02-19,179.3000030517578,190.0,177.5,190.0,243834
2021-02-22,172.9499969482422,182.0,172.0500030517578,179.5,134165
2021-02-23,171.14999389648438,176.3000030517578,167.0,170.0,81384
2021-02-24,179.35000610351562,179.39999389648438,172.85000610351562,174.0,73824
2021-02-25,172.9499969482422,184.5,172.64999389648438,179.39999389648438,118930
