Price,('Close', 'TRAN.BA'),('High', 'TRAN.BA'),('Low', 'TRAN.BA'),('Open', 'TRAN.BA'),('Volume', 'TRAN.BA')
Ticker,TRAN.BA,TRAN.BA,TRAN.BA,TRAN.BA,TRAN.BA
Date,,,,,
2021-08-04,31.350000381469727,32.70000076293945,31.350000381469727,32.25,79072
2021-08-05,32.599998474121094,32.79999923706055,31.450000762939453,31.950000762939453,246594
2021-08-06,32.75,33.0,32.099998474121094,32.79999923706055,98592
2021-08-09,32.25,33.0,32.04999923706055,32.75,125724
2021-08-10,32.849998474121094,33.25,32.04999923706055,32.25,297953
2021-08-11,33.349998474121094,33.900001525878906,32.25,32.849998474121094,723616
2021-08-12,33.54999923706055,34.0,33.20000076293945,33.349998474121094,281513
2021-08-13,33.75,33.900001525878906,33.25,33.54999923706055,287960
2021-08-17,33.0,33.75,32.599998474121094,33.70000076293945,237038
2021-08-18,32.849998474121094,33.150001525878906,32.150001525878906,32.349998474121094,186380
2021-08-19,31.850000381469727,32.70000076293945,31.399999618530273,32.70000076293945,421072
2021-08-20,32.150001525878906,32.20000076293945,31.549999237060547,31.850000381469727,376402
2021-08-23,33.45000076293945,33.5,32.0,32.150001525878906,272759
2021-08-24,36.04999923706055,36.400001525878906,33.75,34.0,988884
2021-08-25,36.349998474121094,37.0,35.5,36.20000076293945,1170006
2021-08-26,38.54999923706055,39.5,36.349998474121094,36.45000076293945,911256
2021-08-27,39.45000076293945,40.650001525878906,37.150001525878906,38.5,1088270
2021-08-30,43.849998474121094,44.0,40.0,40.45000076293945,1713783
2021-08-31,43.400001525878906,44.5,42.0,44.0,924309
2021-09-01,41.849998474121094,45.70000076293945,41.70000076293945,43.5,1215359
2021-09-02,41.349998474121094,42.900001525878906,40.29999923706055,42.599998474121094,682758
2021-09-03,40.900001525878906,41.5,40.29999923706055,41.29999923706055,335486
2021-09-06,42.75,42.95000076293945,40.5,40.5,474071
2021-09-07,43.04999923706055,44.70000076293945,43.0,43.599998474121094,1532101
2021-09-08,43.20000076293945,43.599998474121094,41.75,43.599998474121094,950894
2021-09-09,41.599998474121094,44.0,41.099998474121094,43.5,716698
2021-09-10,40.54999923706055,42.150001525878906,40.099998474121094,41.79999923706055,830850
2021-09-13,44.900001525878906,45.599998474121094,43.54999923706055,44.5,1646861
2021-09-14,45.45000076293945,45.5,44.0,45.20000076293945,1295815
2021-09-15,46.5,47.400001525878906,44.400001525878906,45.900001525878906,1462236
2021-09-16,50.29999923706055,50.5,44.5,46.20000076293945,1596511
2021-09-17,52.099998474121094,53.20000076293945,49.0,49.400001525878906,1193946
2021-09-20,47.0,50.70000076293945,46.849998474121094,50.70000076293945,878239
2021-09-21,47.95000076293945,48.29999923706055,47.0,47.20000076293945,593017
2021-09-22,49.04999923706055,49.75,48.349998474121094,49.0,821296
2021-09-23,49.29999923706055,50.400001525878906,48.099998474121094,49.599998474121094,524973
2021-09-24,48.400001525878906,50.0,48.099998474121094,49.70000076293945,171899
2021-09-27,48.54999923706055,49.25,48.04999923706055,48.95000076293945,161485
2021-09-28,47.95000076293945,48.599998474121094,47.0,48.599998474121094,158745
2021-09-29,48.900001525878906,49.0,48.0,48.0,170718
2021-09-30,49.79999923706055,51.29999923706055,48.599998474121094,48.900001525878906,440022
2021-10-01,50.599998474121094,52.099998474121094,49.5,50.900001525878906,138421
2021-10-04,53.70000076293945,53.900001525878906,50.400001525878906,50.5,457822
2021-10-05,53.5,54.79999923706055,52.79999923706055,53.900001525878906,588306
2021-10-06,52.400001525878906,53.70000076293945,52.0,53.20000076293945,157966
2021-10-07,52.400001525878906,53.400001525878906,51.599998474121094,52.29999923706055,356650
2021-10-12,53.400001525878906,54.5,52.0,53.5,290979
2021-10-13,54.400001525878906,54.5,53.0,53.900001525878906,338802
2021-10-14,55.0,55.20000076293945,54.400001525878906,54.400001525878906,172067
2021-10-15,55.900001525878906,55.900001525878906,55.099998474121094,55.900001525878906,331021
2021-10-18,57.099998474121094,57.5,55.099998474121094,55.099998474121094,287510
2021-10-19,59.20000076293945,59.20000076293945,56.0,57.70000076293945,240619
2021-10-20,62.900001525878906,62.900001525878906,59.20000076293945,60.0,442827
2021-10-21,67.5,68.19999694824219,60.0,62.79999923706055,737061
2021-10-22,68.0,68.19999694824219,65.0,67.19999694824219,637868
2021-10-25,69.9000015258789,71.0,68.0999984741211,68.69999694824219,581830
2021-10-26,69.9000015258789,71.0,68.5999984741211,70.4000015258789,490355
2021-10-27,66.0,70.80000305175781,65.0,69.9000015258789,470465
2021-10-28,65.80000305175781,67.4000015258789,64.0,65.9000015258789,277659
2021-10-29,61.5,67.0,61.29999923706055,67.0,366644
2021-11-01,64.9000015258789,65.0,61.099998474121094,61.099998474121094,380829
2021-11-02,64.9000015258789,65.80000305175781,63.900001525878906,65.69999694824219,363257
2021-11-03,65.9000015258789,65.9000015258789,64.0,65.0,368767
