Price,('Close', 'TGSU2.BA'),('High', 'TGSU2.BA'),('Low', 'TGSU2.BA'),('Open', 'TGSU2.BA'),('Volume', 'TGSU2.BA')
Ticker,TGSU2.BA,TGSU2.BA,TGSU2.BA,TGSU2.BA,TGSU2.BA
Date,,,,,
2021-08-25,178.75,180.89999389648438,176.5,179.60000610351562,44802
2021-08-26,184.39999389648438,187.5,178.6999969482422,179.10000610351562,113244
2021-08-27,183.9499969482422,189.0,182.1999969482422,185.0,89855
2021-08-30,193.25,194.0,180.0,185.0,212419
2021-08-31,192.0,195.0,189.5,195.0,108456
2021-09-01,187.14999389648438,198.0,185.8000030517578,192.0,122166
2021-09-02,186.5,193.0,183.5,187.0,56735
2021-09-03,181.4499969482422,191.10000610351562,180.5,191.10000610351562,103255
2021-09-06,182.25,182.35000610351562,177.14999389648438,181.8000030517578,87496
2021-09-07,190.9499969482422,193.75,184.5500030517578,185.5,106821
2021-09-08,185.3000030517578,190.10000610351562,182.1999969482422,190.10000610351562,98099
2021-09-09,183.89999389648438,191.0500030517578,183.0,190.0,81765
2021-09-10,182.75,186.0,177.25,184.14999389648438,58070
2021-09-13,197.60000610351562,205.25,191.0,199.3000030517578,283560
2021-09-14,189.0500030517578,200.0,183.0,200.0,168920
2021-09-15,191.1999969482422,193.0,184.39999389648438,190.0,104719
2021-09-16,194.64999389648438,196.14999389648438,184.0,187.85000610351562,137204
2021-09-17,192.10000610351562,196.85000610351562,188.10000610351562,194.5,119695
2021-09-20,178.9499969482422,191.3000030517578,176.3000030517578,191.3000030517578,67355
2021-09-21,178.5,181.35000610351562,175.25,179.5,70571
2021-09-22,186.39999389648438,187.0,180.25,180.25,150608
2021-09-23,182.4499969482422,188.1999969482422,181.0,188.1999969482422,150563
2021-09-24,182.0500030517578,183.0,179.0,182.0,22589
2021-09-27,185.39999389648438,187.4499969482422,182.14999389648438,183.0,74357
2021-09-28,187.14999389648438,187.9499969482422,182.5,185.5,50964
2021-09-29,194.10000610351562,195.0,187.0,187.0,105509
2021-09-30,192.0,195.3000030517578,191.0,194.5,41910
2021-10-01,196.60000610351562,198.0,183.25,188.0,129744
2021-10-04,204.64999389648438,205.0,196.60000610351562,197.0500030517578,87467
2021-10-05,200.89999389648438,205.0,200.0,205.0,199012
2021-10-06,198.35000610351562,204.0,195.0,200.0,120861
2021-10-07,202.9499969482422,203.0500030517578,193.5,198.10000610351562,163933
2021-10-12,209.4499969482422,215.0,206.0,213.0500030517578,148778
2021-10-13,211.3000030517578,213.75,203.0,205.0,80061
2021-10-14,211.5,213.5,210.4499969482422,211.9499969482422,46262
2021-10-15,215.60000610351562,225.0,210.10000610351562,211.6999969482422,101214
2021-10-18,219.75,220.9499969482422,210.64999389648438,214.64999389648438,147578
2021-10-19,224.0500030517578,224.75,215.0,221.9499969482422,105352
2021-10-20,234.75,240.0,224.0500030517578,224.0500030517578,167525
2021-10-21,235.39999389648438,239.0,229.1999969482422,230.3000030517578,146313
2021-10-22,232.8000030517578,237.0,227.0,233.6999969482422,71973
2021-10-25,243.89999389648438,244.14999389648438,233.0,234.0,242762
2021-10-26,241.35000610351562,245.0,239.0,244.64999389648438,187546
2021-10-27,229.3000030517578,244.25,225.0,242.1999969482422,231352
2021-10-28,228.5500030517578,243.0,227.0,229.0,122304
2021-10-29,217.3000030517578,232.3000030517578,215.5,229.0,114621
2021-11-01,225.6999969482422,227.0,218.5,222.0,46125
2021-11-02,232.60000610351562,233.75,225.0,226.0,40580
2021-11-03,233.5,237.60000610351562,227.0,228.0,106805
2021-11-04,224.10000610351562,236.0,221.5,232.8000030517578,121510
2021-11-05,229.14999389648438,230.5,222.0,226.0,161136
2021-11-08,239.0,243.0,228.0,229.14999389648438,212016
2021-11-09,232.10000610351562,245.4499969482422,229.0,237.5,178918
2021-11-10,235.9499969482422,237.9499969482422,228.0,232.5,113380
2021-11-11,237.9499969482422,244.25,230.0,235.89999389648438,109456
2021-11-12,235.0,245.0,231.75,243.0,146022
2021-11-15,230.9499969482422,242.0,225.1999969482422,239.0,50086
2021-11-16,226.5,239.9499969482422,217.5,230.9499969482422,146280
2021-11-17,219.6999969482422,234.9499969482422,215.14999389648438,234.9499969482422,107572
2021-11-18,218.0500030517578,222.75,204.0,215.0,78339
2021-11-19,206.64999389648438,222.0,206.0,221.89999389648438,46819
2021-11-23,204.85000610351562,211.5,197.0,206.75,91572
2021-11-24,203.0500030517578,211.9499969482422,201.25,206.0,49873
2021-11-25,207.5500030517578,208.35000610351562,201.25,201.25,14288
2021-11-26,188.85000610351562,208.0,188.0,208.0,199684
2021-11-29,182.0,197.0,180.1999969482422,192.60000610351562,106978
2021-11-30,184.5500030517578,186.75,176.25,181.5,185629
2021-12-01,193.89999389648438,201.14999389648438,186.25,190.0,305235
2021-12-02,200.4499969482422,202.4499969482422,194.5,195.89999389648438,59534
2021-12-03,201.1999969482422,204.5,197.0,204.0,64252
2021-12-06,204.60000610351562,207.39999389648438,203.89999389648438,207.0,70217
2021-12-07,208.85000610351562,209.89999389648438,204.0,204.5500030517578,174026
2021-12-09,199.39999389648438,210.85000610351562,199.0,208.85000610351562,48350
2021-12-10,198.1999969482422,204.9499969482422,195.10000610351562,202.8000030517578,46861
